Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,4.5148,4.52438,4.4981,4.5152,4.5152,0.0
2021-02-02,4.50859,4.51101,4.4727,4.50786,4.50786,0.0
2021-02-03,4.48045,4.4939,4.4702,4.47986,4.47986,0.0
2021-02-04,4.48447,4.50295,4.481,4.4811,4.4811,0.0
2021-02-05,4.4962,4.50356,4.4808,4.4957,4.4957,0.0
2021-02-08,4.48268,4.48968,4.4711,4.4827,4.4827,0.0
2021-02-09,4.47415,4.48235,4.4684,4.4728,4.4728,0.0
2021-02-10,4.47358,4.49049,4.4669,4.4701,4.4701,0.0
2021-02-11,4.4912,4.50645,4.4876,4.4908,4.4908,0.0
2021-02-12,4.4978,4.50779,4.4911,4.4971,4.4971,0.0
2021-02-15,4.49556,4.49678,4.4759,4.4939,4.4939,0.0
2021-02-16,4.48448,4.49845,4.4794,4.4808,4.4808,0.0
2021-02-17,4.492,4.50468,4.4908,4.4924,4.4924,0.0
2021-02-18,4.48893,4.49593,4.47783,4.48859,4.48859,0.0
2021-02-19,4.48858,4.4909,4.4755,4.4881,4.4881,0.0
2021-02-22,4.48304,4.49816,4.4755,4.48308,4.48308,0.0
2021-02-23,4.49427,4.50876,4.4899,4.49451,4.49451,0.0
2021-02-24,4.50711,4.52359,4.501,4.50708,4.50708,0.0
2021-02-25,4.50436,4.5151,4.4984,4.50386,4.50386,0.0
2021-02-26,4.51791,4.5257,4.5033,4.51696,4.51696,0.0
2021-03-01,4.51815,4.53571,4.5087,4.51804,4.51804,0.0
2021-03-02,4.5308,4.54258,4.5262,4.5274,4.5274,0.0
2021-03-03,4.5334,4.55148,4.5263,4.5327,4.5327,0.0
2021-03-04,4.54346,4.55845,4.5391,4.54362,4.54362,0.0
2021-03-05,4.55967,4.59809,4.5565,4.55985,4.55985,0.0
2021-03-08,4.58312,4.60231,4.5792,4.58373,4.58373,0.0
2021-03-09,4.59505,4.5975,4.5702,4.59507,4.59507,0.0
2021-03-10,4.56572,4.57759,4.56442,4.56605,4.56605,0.0
